Date,Country,Emission
1994,China,3100002045
1995,China,3357908888
1996,China,3503233703
1997,China,3510169286
1998,China,3360455433
1999,China,3350340129
2000,China,3439152210
2001,China,3514933795
2002,China,3872595297
2003,China,4545013886
2004,China,5223754656
2005,China,5876555340
2006,China,6488803816
2007,China,6978611952
2008,China,7496832207
2009,China,7886532768
2010,China,8616652695
2011,China,9528555734
2012,China,9775621803
2013,China,9952743755
2014,China,9985583382
2015,China,9848419740
2016,China,9720444086
2017,China,9920459189
2018,China,10289989525
2019,China,10489988555
2020,China,10667887453
1994,World,22964583359
1995,World,23453944453
1996,World,24154961206
1997,World,24300550431
1998,World,24206271270
1999,World,24518962288
2000,World,25234207250
2001,World,25451054498
2002,World,26039191477
2003,World,27366723291
2004,World,28627533033
2005,World,29602777196
2006,World,30583530081
2007,World,31493741589
2008,World,32069444008
2009,World,31607042410
2010,World,33343300453
2011,World,34468451046
2012,World,34974075146
2013,World,35283025443
2014,World,35534442952
2015,World,35496406339
2016,World,35452459298
2017,World,35925737687
2018,World,36646139785
2019,World,36702502903
2020,World,34807259099
1994,North America,6288259639
1995,North America,6350638338
1996,North America,6576288267
1997,North America,6695065330
1998,North America,6765937652
1999,North America,6861781942
2000,North America,7107691709
2001,North America,7014631472
2002,North America,7068126101
2003,North America,7183859119
2004,North America,7282769072
2005,North America,7330252917
2006,North America,7265229406
2007,North America,7376088584
2008,North America,7158261808
2009,North America,6670754218
2010,North America,6875767079
2011,North America,6771607912
2012,North America,6580282771
2013,North America,6714923529
2014,North America,6753942686
2015,North America,6612704117
2016,North America,6471359556
2017,North America,6412981891
2018,North America,6588629908
2019,North America,6460726238
2020,North America,5775158655
1994,Europe,6433785144
1995,Europe,6415240923
1996,Europe,6464354025
1997,Europe,6258128350
1998,Europe,6232186994
1999,Europe,6147588627
2000,Europe,6149033673
2001,Europe,6275941415
2002,Europe,6241655552
2003,Europe,6387841133
2004,Europe,6419130511
2005,Europe,6410329615
2006,Europe,6509434302
2007,Europe,6457352334
2008,Europe,6384572255
2009,Europe,5871171361
2010,Europe,6098534908
2011,Europe,6023668149
2012,Europe,5972231655
2013,Europe,5815574828
2014,Europe,5589757324
2015,Europe,5594384221
2016,Europe,5590252902
2017,Europe,5620306625
2018,Europe,5593057381
2019,Europe,5430238970
2020,Europe,4946034489