Date,CPI %,Industrial added value %
2017-11,1.7,6.1
2017-12,1.8,6.2
2018-01,1.5,7.2
2018-02,2.9,7.2
2018-03,2.1,6
2018-04,1.8,7
2018-05,1.8,6.8
2018-06,1.9,6
2018-07,2.1,6
2018-08,2.3,6.1
2018-09,2.5,5.8
2018-10,2.5,5.9
2018-11,2.2,5.4
2018-12,1.9,5.7
2019-01,1.7,5.3
2019-02,1.5,5.3
2019-03,2.3,8.5
2019-04,2.5,5.4
2019-05,2.7,5
2019-06,2.7,6.3
2019-07,2.8,4.8
2019-08,2.8,4.4
2019-09,3,5.8
2019-10,3.8,4.7
2019-11,4.5,6.2
2019-12,4.5,6.9
2020-01,5.4,0
2020-02,5.2,0
2020-03,4.3,-1.1
2020-04,3.3,3.9
2020-05,2.4,4.4
2020-06,2.5,4.8
2020-07,2.7,4.8
2020-08,2.4,5.6
2020-09,1.7,6.9
2020-10,0.5,6.9
2020-11,-0.5,7
2020-12,0.2,7.3
2021-01,-0.3,0
2021-02,-0.2,0
2021-03,0.4,14.1
2021-04,0.9,9.8
2021-05,1.3,8.8
2021-06,1.1,8.3
2021-07,1,6.4
2021-08,0.8,5.3
2021-09,0.7,3.1
2021-10,1.5,3.5
2021-11,2.3,3.8